emerald_id,name,ra,dec,z_spec,status,priority,jwst_program_id,notes,ancillary_assets,f200w,f444w
DIV-1027831,JADES-1027831,189.2537500,62.2495080,1.263,observed,low,8018,Coordinates from JADES DR5 catalog,[],23.51,22.41
DIV-1028033,JADES-1028033,189.2034900,62.2506750,3.109,observed,low,8018,Coordinates from JADES DR5 catalog,[],24.28,23.97
DIV-1028229,JADES-1028229,189.2258900,62.2519600,4.402586935,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.12,26.85
DIV-1028276,JADES-1028276,189.2523700,62.2528650,1,observed,low,8018,"Coordinates via PRISM s2d header + DR5 nearest match ID 1028274 (sep=0.67"")",[],25.35,25.80
DIV-1028352,JADES-1028352,189.1933000,62.2529030,4.40711,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.80,28.09
DIV-1028441,JADES-1028441,189.1226500,62.2536200,3.652,observed,low,8018,Coordinates from JADES DR5 catalog,[],22.44,22.00
DIV-1028706,JADES-1028706,189.1574200,62.2563970,1.221,observed,low,8018,Coordinates from JADES DR5 catalog,[],24.15,24.12
DIV-1028769,JADES-1028769,189.1435000,62.2564430,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.12,27.82
DIV-1028932,JADES-1028932,189.2046000,62.2576940,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.75,27.87
DIV-1028949,JADES-1028949,189.2191000,62.2581140,1.016,observed,low,8018,Coordinates from JADES DR5 catalog,[],23.73,23.95
DIV-1029154,JADES-1029154,189.1590300,62.2602270,4.17,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.14,24.78
DIV-1029889,JADES-1029889,189.0927000,62.2660400,4.473230597,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.34,27.53
DIV-1029953,JADES-1029953,189.2183000,62.2669070,0.852,observed,low,8018,Coordinates from JADES DR5 catalog,[],23.94,23.92
DIV-1030035,JADES-1030035,189.1189400,62.2672600,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.55,26.60
DIV-1030224,JADES-1030224,189.1220200,62.2705040,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],20.84,20.89
DIV-1030305,JADES-1030305,189.2084500,62.2698360,1,observed,low,8018,"Coordinates via PRISM s2d header + DR5 nearest match ID 1030304 (sep=0.22"")",[],27.52,27.35
DIV-1030362,JADES-1030362,189.1944600,62.2707140,4.07904,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.06,26.96
DIV-1030572,JADES-1030572,189.1975400,62.2723500,0.502,observed,low,8018,Coordinates from JADES DR5 catalog,[],22.68,22.84
DIV-1030587,JADES-1030587,189.2044500,62.2724100,0.501,observed,low,8018,Coordinates from JADES DR5 catalog,[],21.54,21.90
DIV-1030611,JADES-1030611,189.1344900,62.2723600,3.363,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.12,24.98
DIV-1030764,JADES-1030764,189.1351500,62.2744260,0.851,observed,low,8018,Coordinates from JADES DR5 catalog,[],22.35,22.24
DIV-1031481,JADES-1031481,189.1397000,62.2759900,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.45,28.38
DIV-1031618,JADES-1031618,189.2197700,62.2770840,1.362,observed,low,8018,Coordinates from JADES DR5 catalog,[],24.07,23.88
DIV-1032090,JADES-1032090,189.0810900,62.2806630,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.27,26.34
DIV-1032409,JADES-1032409,189.1638600,62.2823640,1.683,observed,low,8018,Coordinates from JADES DR5 catalog,[],23.84,22.76
DIV-1032490,JADES-1032490,189.0859400,62.2830470,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],24.48,24.59
DIV-1032940,JADES-1032940,189.1155200,62.2856750,1.335,observed,low,8018,Coordinates from JADES DR5 catalog,[],23.25,22.75
DIV-1032966,JADES-1032966,189.0886100,62.2856860,1.994,observed,low,8018,Coordinates from JADES DR5 catalog,[],24.64,22.00
DIV-1033045,JADES-1033045,189.0845300,62.2857800,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.94,26.96
DIV-1033161,JADES-1033161,189.1759200,62.2864900,2.728,observed,low,8018,Coordinates from JADES DR5 catalog,[],22.67,21.47
DIV-1033301,JADES-1033301,189.1013800,62.2874680,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.24,26.16
DIV-1033333,JADES-1033333,189.1124300,62.2874340,4.38535,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.92,28.34
DIV-1033390,JADES-1033390,189.0931700,62.2879180,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.84,27.30
DIV-1033410,JADES-1033410,189.1041600,62.2881900,1.526,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.22,23.92
DIV-1033439,JADES-1033439,189.0943500,62.2882200,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.84,27.48
DIV-1033938,JADES-1033938,189.1900000,62.2918660,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.29,25.54
DIV-1034159,JADES-1034159,189.1142900,62.2930030,4.822859,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.00,26.67
DIV-1034762,JADES-1034762,189.1983300,62.2970470,7.040499345,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.65,26.77
DIV-1035188,JADES-1035188,189.1087500,62.3020360,4.532571384,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.54,26.64
DIV-1035191,JADES-1035191,189.1578000,62.3023450,7.49764,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.05,25.83
DIV-1035192,JADES-1035192,189.1579900,62.3024000,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.28,25.40
DIV-1035319,JADES-1035319,189.1881900,62.3045230,1.452,observed,low,8018,Coordinates from JADES DR5 catalog,[],24.57,22.57
DIV-1035334,JADES-1035334,189.1810500,62.3044600,4.3789,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.47,26.70
DIV-1035339,JADES-1035339,189.1201500,62.3043980,5.272090371,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.97,26.26
DIV-1035355,JADES-1035355,189.1569000,62.3045270,5.23957,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.04,27.79
DIV-1035392,JADES-1035392,189.1776700,62.3057860,1.146,observed,low,8018,Coordinates from JADES DR5 catalog,[],22.15,21.34
DIV-1035490,JADES-1035490,189.1606400,62.3071750,1,observed,low,8018,"Coordinates via PRISM s2d header + DR5 nearest match ID 1035491 (sep=0.96"")",[],25.07,25.70
DIV-1035508,JADES-1035508,189.1655000,62.3068920,5.18991,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.52,26.17
DIV-1048844,JADES-1048844,189.2282900,62.1807100,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.38,27.10
DIV-1049627,JADES-1049627,189.2309400,62.1829640,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.88,26.05
DIV-1050006,JADES-1050006,189.2173900,62.1837730,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.71,27.46
DIV-1050793,JADES-1050793,189.2356700,62.1860000,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.66,28.79
DIV-1050918,JADES-1050918,189.2491300,62.1864240,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.84,28.84
DIV-1051095,JADES-1051095,189.2531700,62.1868820,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.39,28.56
DIV-1051462,JADES-1051462,189.2349700,62.1879500,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.36,28.64
DIV-1051518,JADES-1051518,189.2428400,62.1881800,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.00,27.14
DIV-1051711,JADES-1051711,189.2559800,62.1887300,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.98,28.46
DIV-1053414,JADES-1053414,189.2245500,62.1933600,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.19,26.93
DIV-1053962,JADES-1053962,189.2383400,62.1946640,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.57,28.78
DIV-1054165,JADES-1054165,189.2718400,62.1951830,8.65428476,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.84,27.31
DIV-1054229,JADES-1054229,189.2182900,62.1954150,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.92,27.66
DIV-1054345,JADES-1054345,189.2760200,62.1958100,5.87755,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.69,27.23
DIV-1054564,JADES-1054564,189.2901800,62.1963400,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.24,26.89
DIV-1054696,JADES-1054696,189.2101300,62.1966670,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.80,27.06
DIV-1055583,JADES-1055583,189.2097200,62.1991100,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.27,27.39
DIV-1055814,JADES-1055814,189.1968100,62.1997000,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.59,27.41
DIV-1055925,JADES-1055925,189.1905500,62.2000470,6.76409,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.46,28.34
DIV-1056222,JADES-1056222,189.3096500,62.2008060,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.89,28.63
DIV-1056353,JADES-1056353,189.3043000,62.2011700,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.78,28.56
DIV-1056368,JADES-1056368,189.3055600,62.2012060,6.556,observed,low,8018,Coordinates from JADES DR5 catalog,[],29.54,28.68
DIV-1056374,JADES-1056374,189.2373800,62.2013360,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.45,25.99
DIV-1056382,JADES-1056382,189.2793700,62.2013240,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],28.33,27.89
DIV-1056547,JADES-1056547,189.2385700,62.2017480,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.21,27.16
DIV-1056591,JADES-1056591,189.2765400,62.2018620,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.92,28.00
DIV-1056678,JADES-1056678,189.2732000,62.2022130,5.04401,observed,low,8018,Coordinates from JADES DR5 catalog,[],26.70,26.18
DIV-1056841,JADES-1056841,189.2970900,62.2025400,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.95,26.21
DIV-1056875,JADES-1056875,189.2252000,62.2026140,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.28,28.17
DIV-1057260,JADES-1057260,189.3222400,62.2038040,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],25.72,25.61
DIV-1057561,JADES-1057561,189.2207000,62.2046360,1,observed,low,8018,Coordinates from JADES DR5 catalog,[],27.24,27.59
