sourceid,redshift,AGN,LyA,HeII,CIV,CIII],NIV],OIII],MgII,OPT_OII,OPT_O3,OPT_Hb,OPT_4363,Continuum_detected,comment_lin,comment_secondary,plots,JADES_seds
1089666,5.677559475,No,Yes,No,No,No,No,No,No,No,No,No,No,No,LyA,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1089666.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1089666_EAZY_SED.png
1093846,5.18673,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,CIII],O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1093846.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1093846_EAZY_SED.png
1102015,5.148892,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1102015.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1102015_EAZY_SED.png
1102614,5.42813,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1102614.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1102614_EAZY_SED.png
1102635,5.4212,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1102635.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1102635_EAZY_SED.png
1110323,7.53875,No,No,No,No,No,No,No,No,No,No,No,No,No,,no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1110323.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1110323_EAZY_SED.png
1120664,5.17402,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1120664.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1120664_EAZY_SED.png
1120816,4.76158,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,optical line,O3+Hb,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1120816.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1120816_EAZY_SED.png
1178039,5.646,No,No,No,No,No,No,No,No,No,No,No,No,No,,bad reduction?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1178039.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1178039_EAZY_SED.png
1184243,5.298181135,No,No,No,No,No,No,No,No,No,No,No,No,No,,bad reduction?,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1184243.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1184243_EAZY_SED.png
1184445,4.29283,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,optical lines,C3 + O2 to O3 w/ 4363,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1184445.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1184445_EAZY_SED.png
1188500,8.011,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,"z8 Lya, CIV, HeII",Lya + CIV + HeII,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1188500.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1188500_EAZY_SED.png
1201728,5.18851,No,No,No,No,No,No,No,No,Yes,No,No,No,No,CII]?,O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1201728.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1201728_EAZY_SED.png
1216054,4.279685649,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,O2 (contaminations),https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1216054.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1216054_EAZY_SED.png
1217707,6.56435,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,"LyA, HeII, OIII], CIII]",lya CIV HeII OIII] + CIII] + O2,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1217707.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1217707_EAZY_SED.png
1219339,9.74351,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,"tentive NIV], CIV]",no emission line,https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_1219339.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1219339_EAZY_SED.png
9994014,5.228,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,"CIII], CIV","LRD, CIV HeII OIII] CIII] (nice)",https://fenrir.as.arizona.edu/diver/DIVER/grating_plots/spectrum_plot_9994014.png,https://jades.idies.jhu.edu/goods-n/goodsn_eazy_seds_v10e1/1188037_EAZY_SED.png
